volume (mL),WT[23May2024_CA-CTD_T188C] (UV),volume (mL),WT[23May2024_CA-CTD_T188C] (Molar mass),volume (mL),T188C Red[23May2024_CA-CTD_T188C] (UV),volume (mL),T188C Red[23May2024_CA-CTD_T188C] (Molar mass),volume (mL),T188C Ox[23May2024_CA-CTD_T188C] (UV),volume (mL),T188C Ox[23May2024_CA-CTD_T188C] (Molar mass)
0.00205,0.002733799,16.73065853,10344.57806,0.006141667,0.000562333,16.72633327,13569.36911,0.008191667,0.000761361,16.50953404,24834.38896
0.010467278,0.003010019,16.73907581,11181.45608,0.014558945,0.000619062,16.73475055,13705.86106,0.016608945,0.000839202,16.55162043,22056.82695
0.018884556,0.003251023,16.74749309,11869.72442,0.022976223,0.000667887,16.74316782,13791.23795,0.025026223,0.000906233,16.59370682,19343.56505
0.027301834,0.003464184,16.75591036,12154.03223,0.031393501,0.000711822,16.7515851,13828.21741,0.033443501,0.000967141,16.63579321,18954.57214
0.035719111,0.003657203,16.76432764,12174.6891,0.039810779,0.000755541,16.76000238,13906.07603,0.041860779,0.001028758,16.6778796,18534.45188
0.044136389,0.003834048,16.77274492,12100.65102,0.048228057,0.000803339,16.76841966,14079.59314,0.050278057,0.001092011,16.71996599,18296.25442
0.052553667,0.003996631,16.7811622,12182.07223,0.056645335,0.000853024,16.77683694,14360.29636,0.058695335,0.001152482,16.76205238,18620.19315
0.060970945,0.004144767,16.78957948,12510.97156,0.065062613,0.000896894,16.78525421,14777.48977,0.067112613,0.001205269,16.80413877,18682.25278
0.069388223,0.0042779,16.79799675,12906.17353,0.073479891,0.000935596,16.79367149,15007.04159,0.075529891,0.001251276,16.84622516,18436.93437
0.077805501,0.004394611,16.80641403,13249.55267,0.081897169,0.000969752,16.80208877,15029.23213,0.083947169,0.001290483,16.88831155,18573.06738
0.086222779,0.004496381,16.81483131,13453.91757,0.090314447,0.000999047,16.81050605,15013.64633,0.092364447,0.001321308,16.93039794,18712.26002
0.094640057,0.004582207,16.82324859,13539.33763,0.098731725,0.001024082,16.81892333,15012.97582,0.100781725,0.001345133,16.97248433,19100.28611
0.103057334,0.004654058,16.83166586,13727.10154,0.107149003,0.001044754,16.8273406,15065.46907,0.109199003,0.001364151,17.01457072,19189.56772
0.111474612,0.004710671,16.84008314,13787.5336,0.115566281,0.00105902,16.83575788,15201.01459,0.117616281,0.001379272,17.05665711,19124.5558
0.11989189,0.004758577,16.84850042,13963.60038,0.123983559,0.001067982,16.84417516,15333.40896,0.126033559,0.00139115,17.0987435,18862.84637
