volume (mL),T188C Red LC[24May2024_CA-CTD_T188C] (UV),volume (mL),T188C Red LC[24May2024_CA-CTD_T188C] (Molar mass),volume (mL),WT LC[24May2024_CA-CTD_T188C] (UV),volume (mL),WT LC[24May2024_CA-CTD_T188C] (Molar mass),volume (mL),T188C Ox LC[23May2024_CA-CTD_T188C] (UV),volume (mL),T188C Ox LC[23May2024_CA-CTD_T188C] (Molar mass),volume (mL),T188C Ox[23May2024_CA-CTD_T188C] (UV),volume (mL),T188C Ox[23May2024_CA-CTD_T188C] (Molar mass),volume (mL),BSA LC[24May2024_CA-CTD_T188C] (UV),volume (mL),BSA LC[24May2024_CA-CTD_T188C] (Molar mass),volume (mL),WT[23May2024_CA-CTD_T188C] (UV),volume (mL),WT[23May2024_CA-CTD_T188C] (Molar mass),volume (mL),BSA[23May2024_CA-CTD_T188C] (UV),volume (mL),BSA[23May2024_CA-CTD_T188C] (Molar mass),volume (mL),T188C Red[23May2024_CA-CTD_T188C] (UV),volume (mL),T188C Red[23May2024_CA-CTD_T188C] (Molar mass)
0.00318333333333333,0.00127945156401948,17.2789198413087,152427.547568247,0.00114166666666667,-0.0120437046823675,17.3442114818148,10316.4009359267,0.00455,0.00192107711131084,16.6826596101443,16556.8138108843,0.00819166666666667,0.00076136096498793,16.5095340391236,24834.3889575589,0.00159166666666667,-0.00122220289552175,14.3481146472447,8894000.8285228,0.00205,0.00273379890407893,16.7306585304259,10344.5780553523,0.00705833333333333,3.30273024705046E-5,12.8216329210344,199787.153266461,0.00614166666666667,0.000562333172741216,16.7263332683557,13569.3691065417
0.0116006135844749,0.00134793361215459,17.2873371215598,134704.069134238,0.00955894453957382,-0.0132981551816058,17.3610460375606,9969.60704099602,0.0129672802511416,0.00206789903035405,16.6994941706466,17255.4745640339,0.0166089447140546,0.000839201777689838,16.5516204293606,22056.8269513132,0.0100089469178082,-0.00115992480171128,14.3902010485005,237055.59573568,0.0104672778729072,0.00301001881103255,16.7390758082988,11181.4560821596,0.0154756113807213,2.681812226029E-5,12.8300501990818,196851.593115236,0.0145589447140546,0.000619061509334016,16.7347505464031,13705.861056855
0.0200178938356164,0.00140691234414136,17.295754401811,94000.0835919939,0.017976222412481,-0.014382177961985,17.3778805933064,9480.10992011957,0.0213845605022831,0.00229006365214609,16.7163287311489,16958.2408411301,0.0250262227614426,0.00090623309231827,16.5937068195975,19343.5650523455,0.0184262271689498,-0.00104733636385789,14.4322874497562,134089.728089123,0.0188845557458143,0.00325102265553969,16.7474930861717,11869.7244195417,0.0238928894281092,2.50489142885934E-5,12.8384674771291,193257.151284496,0.0229762227614426,0.000667886772691338,16.7431678244505,13791.2379517238
0.028435174086758,0.00150227732750987,17.3041716820621,70877.2448850294,0.0263935002853881,-0.0152858753374007,17.3947151490522,9005.97160093864,0.0298018407534247,0.00251099212655962,16.7331632916511,17143.8937018533,0.0334435008088305,0.000967140534989867,16.6357932098344,18954.5721416917,0.0268435074200913,-0.000931526573783975,14.4743738510119,105686.850947503,0.0273018336187215,0.00346418441695288,16.7559103640446,12154.0322275978,0.0323101674754972,3.98906208110608E-5,12.8468847551765,189027.710651797,0.0313935008088305,0.000711821978772268,16.7515851024979,13828.2174058412
0.0368524543378995,0.0016174055634548,17.3125889623132,56735.1543287096,0.0348107781582953,-0.0160254764355107,17.411549704798,8751.05153576819,0.0382191210045662,0.00273005828780696,16.7499978521534,17476.606262449,0.0418607788562185,0.00102875753892381,16.6778796000714,18534.4518805849,0.0352607876712329,-0.000793050445141096,14.5164602522676,92962.2725021529,0.0357191114916286,0.00365720286329001,16.7643276419175,12174.6890990822,0.0407274455228851,8.64275027048897E-5,12.8553020332239,185713.164805837,0.0398107788562185,0.000755540825560106,16.7600023805453,13906.0760345756
0.0452697345890411,0.00176082602185192,17.3210062425644,49352.4755468348,0.0432280560312024,-0.0166065811387013,17.4283842605438,9006.23223644926,0.0466364012557078,0.00295225193375738,16.7668324126557,17133.4022530086,0.0502780569036064,0.00109201081578243,16.7199659903083,18296.2544172036,0.0436780679223744,-0.000548086164029613,14.5585466535233,86066.3000685119,0.0441363893645358,0.00383404820264991,16.7727449197904,12100.6510155133,0.0491447235702731,0.000168620966671685,12.8637193112713,183262.805072546,0.0482280569036064,0.000803339167421247,16.7684196585926,14079.593140618
0.0536870148401827,0.00192816888361104,17.3294235228155,44897.5311293774,0.0516453339041096,-0.017034350239542,17.4452188162897,9103.68925237626,0.0550536815068493,0.00325608914669998,16.783666973158,16415.2277188694,0.0586953349509944,0.00115248205629492,16.7620523805453,18620.1931517956,0.052095348173516,-0.000195546063856645,14.600633054779,80175.8680612166,0.0525536672374429,0.00399663091041615,16.7811621976633,12182.0722340247,0.057562001617661,0.000273604951290258,12.8721365893187,180656.576126279,0.0566453349509944,0.000853023566881136,16.77683693664,14360.2963551733
0.0621042950913242,0.00211547039380766,17.3378408030667,41334.7239546063,0.0600626117770168,-0.0173261081921199,17.4620533720355,9348.70596703755,0.0634709617579909,0.0036439642872223,16.8005015336603,16337.4863460849,0.0671126129983823,0.00120526884502934,16.8041387707822,18682.2527799055,0.0605126284246575,0.00017204868914803,14.6427194560347,79231.006193685,0.0609709451103501,0.00414476749843909,16.7895794755362,12510.9715551494,0.065979279665049,0.00038383898105782,12.8805538673661,178005.132555179,0.0650626129983823,0.00089689441260299,16.7852542146874,14777.4897683998
0.0705215753424658,0.00227711803171166,17.3462580833178,39091.8974800911,0.0684798896499239,-0.017588612088931,17.4788879277813,11119.6744242162,0.0718882420091324,0.00402662603765686,16.8173360941626,16538.4289294838,0.0755298910457703,0.00125127625656394,16.8462251610191,18436.9343690798,0.0689299086757991,0.000495320747170465,14.6848058572904,78279.2675820473,0.0693882229832572,0.0042778995570639,16.7979967534091,12906.1735291525,0.074396557712437,0.000480216308582911,12.8889711454135,175272.916185912,0.0734798910457703,0.000935596311892912,16.7936714927348,15007.0415914451
0.0789388555936073,0.00241583900616307,17.3546753635689,45280.6139457728,0.0768971675228311,-0.0178265602196757,17.4957224835271,13172.982737755,0.080305522260274,0.00437701635561554,16.8341706546648,16643.5744879766,0.0839471690931582,0.00129048303639147,16.8883115512561,18573.0673805485,0.0773471889269406,0.000772514286560585,14.7268922585461,77684.5910734355,0.0778055008561644,0.00439461110472624,16.806414031282,13249.5526692412,0.0828138357598249,0.000564267186394183,12.8973884234609,172210.588913274,0.0818971690931582,0.000969751513233647,16.8020887707822,15029.2321327648
