volume (mL),WT[23May2024_CA-CTD_T188C] (UV),volume (mL),WT[23May2024_CA-CTD_T188C] (Molar mass),volume (mL),WT LC[24May2024_CA-CTD_T188C] (UV),volume (mL),WT LC[24May2024_CA-CTD_T188C] (Molar mass),volume (mL),T188C Ox[23May2024_CA-CTD_T188C] (UV),volume (mL),T188C Ox[23May2024_CA-CTD_T188C] (Molar mass),volume (mL),T188C Ox LC[23May2024_CA-CTD_T188C] (UV),volume (mL),T188C Ox LC[23May2024_CA-CTD_T188C] (Molar mass)
0.220899225,0.004920617,16.94950776,15183.75162,0.219990891,-0.020871475,17.78190993,10214.87461,0.227040896,0.001384979,,,0.223399287,0.004148458,17.12035818,29952.0958
0.229316503,0.004913823,16.95792503,15169.29474,0.228408169,-0.02094138,17.79874449,9943.088959,0.235458174,0.001378986,,,0.231816567,0.004051011,17.13719274,26670.21179
0.23773378,0.00490797,16.96634231,15214.50347,0.236825447,-0.021006119,17.81557904,10291.15583,0.243875452,0.001373029,,,0.240233847,0.003954144,17.1540273,24538.2535
0.246151058,0.004902564,16.97475959,15232.50242,0.245242725,-0.021040359,17.8324136,17192.69401,0.25229273,0.001366777,,,0.248651127,0.00384922,17.17086186,22392.62841
0.254568336,0.004897434,16.98317687,15236.61034,0.253660003,-0.021069303,17.84924815,40926.32078,0.260710008,0.001361524,,,0.257068408,0.003739985,17.18769643,20806.56066
0.262985614,0.004892485,16.99159414,15259.15884,0.262077281,-0.021093865,17.86608271,67365.80417,0.269127286,0.001356741,,,0.265485688,0.003709391,17.20453099,19231.20695
0.271402892,0.004887693,17.00001142,15312.47927,0.270494559,-0.021110345,17.88291727,54044.21796,0.277544564,0.001352363,,,0.273902968,0.003733985,17.22136555,18518.93137
0.27982017,0.004882981,17.0084287,15388.20935,0.278911836,-0.021124513,17.89975182,34396.649,0.285961842,0.001347719,,,0.282320248,0.003768313,17.23820011,18371.77049
0.288237448,0.004879177,17.01684598,15504.31507,0.287329114,-0.021136714,17.91658638,24523.94963,0.29437912,0.001341577,,,0.290737529,0.003785265,17.25503467,19209.65879
0.296654726,0.004875217,17.02526326,15578.54631,0.295746392,-0.021197064,17.93342093,25450.42542,0.302796398,0.001335388,,,0.299154809,0.00378673,17.27186923,20431.36222
0.305072003,0.00487111,17.03368053,15660.08842,0.30416367,-0.021265666,17.95025549,22739.04987,0.311213676,0.001331699,,,0.307572089,0.003758622,17.28870379,21003.60602
0.313489281,0.004866314,17.04209781,15759.86559,0.312580948,-0.021326162,17.96709004,18692.70384,0.319630954,0.001330581,,,0.315989369,0.003680989,17.30553835,20626.01635
0.321906559,0.004861786,17.05051509,15848.88577,0.320998226,-0.021379399,17.9839246,16382.32335,0.328048232,0.001330161,,,0.32440665,0.003577115,17.32237291,19135.90262
0.330323837,0.004856962,17.05893237,15909.20935,0.329415504,-0.021471773,18.00075916,13631.28109,0.336465511,0.001330294,,,0.33282393,0.003479613,17.33920747,18321.04119
0.338741115,0.004851873,17.06734965,15913.62511,0.337832782,-0.021562625,18.01759371,25873.80057,0.344882789,0.001330265,,,0.34124121,0.00342247,17.35604203,19221.51638
0.347158393,0.004845656,17.07576692,15922.96387,0.346250059,-0.021585993,18.03442827,27680.78697,0.353300067,0.001330088,,,0.34965849,0.003404235,17.37287659,20373.41528
0.355575671,0.004839058,17.0841842,16001.34203,0.354667337,-0.021544281,18.05126282,24562.68764,0.361717345,0.001327794,,,0.358075771,0.003427519,17.38971115,21082.65182
0.363992949,0.004832135,17.09260148,16285.93459,0.363084615,-0.02151211,18.06809738,21497.90279,0.370134623,0.001323595,,,0.366493051,0.003484359,17.40654571,20141.98809
0.372410226,0.004825571,17.10101876,16514.35709,0.371501893,-0.021489045,18.08493193,18600.49186,0.378551901,0.001318427,,,0.374910331,0.003563408,17.42338027,19219.31575
0.380827504,0.004819932,17.10943603,16660.40195,0.379919171,-0.021489088,18.10176649,24635.47605,0.386969179,0.001314698,,,0.383327611,0.003627078,17.44021483,21211.8745
0.389244782,0.004816008,17.11785331,16710.77578,0.388336449,-0.021542262,18.11860105,25463.6741,0.395386457,0.001312936,,,0.391744892,0.003676902,17.45704939,23722.92628
0.39766206,0.004811851,17.12627059,16626.67858,0.396753727,-0.021607452,18.1354356,20546.74072,0.403803735,0.001311424,,,0.400162172,0.003702628,17.47388395,24389.81414
0.406079338,0.00480747,17.13468787,16550.74979,0.405171005,-0.021667836,18.15227016,19226.09383,0.412221013,0.001310115,,,0.408579452,0.003666469,17.49071851,20461.22304
0.414496616,0.004802044,17.14310515,16486.64119,0.413588282,-0.021723847,18.16910471,18835.34421,0.420638291,0.001308379,,,0.416996732,0.003609822,17.50755307,18172.19367
0.422913894,0.004795121,17.15152242,16426.41593,0.42200556,-0.02177959,18.18593927,18272.96346,0.429055569,0.00130475,,,0.425414013,0.003509772,17.52438764,17817.08956
0.431331172,0.004789327,17.1599397,16353.94911,0.430422838,-0.021851484,18.20277382,19025.93277,0.437472847,0.00129982,,,0.433831293,0.003375679,,
0.439748449,0.004784039,17.16835698,16267.07157,0.438840116,-0.021890768,18.21960838,20759.01428,0.445890125,0.001294906,,,0.442248573,0.003272204,,
0.448165727,0.004778476,17.17677426,16219.27585,0.447257394,-0.021863272,18.23644294,22489.92912,0.454307403,0.001290449,,,0.450665853,0.003253202,,
0.456583005,0.004772929,17.18519154,16176.02863,0.455674672,-0.021847177,18.25327749,25324.89566,0.462724681,0.001286001,,,0.459083134,0.003248066,,
0.465000283,0.004769815,17.19360881,16135.79176,0.46409195,-0.021841841,18.27011205,30221.22559,0.471141959,0.001281852,,,0.467500414,0.003242418,,
0.473417561,0.004767566,17.20202609,16095.09567,0.472509228,-0.021860077,18.2869466,30186.52787,0.479559237,0.001277971,,,0.475917694,0.003236189,,
0.481834839,0.004765167,17.21044337,16107.51756,0.480926505,-0.02189861,,,0.487976515,0.001273828,,,0.484334974,0.003226852,,
0.490252117,0.004762628,17.21886065,16156.62267,0.489343783,-0.021907636,,,0.496393793,0.001269777,,,0.492752255,0.003207805,,
0.498669395,0.004757654,17.22727792,16213.18606,0.497761061,-0.021921546,,,0.504811071,0.001267847,,,0.501169535,0.003197217,,
0.507086672,0.004753555,17.2356952,16259.79638,0.506178339,-0.021940084,,,0.51322835,0.001267713,,,0.509586815,0.003217266,,
0.51550395,0.004749561,17.24411248,16323.51992,0.514595617,-0.021975019,,,0.521645628,0.001267768,,,0.518004095,0.003266182,,
0.523921228,0.004745649,17.25252976,16390.16248,0.523012895,-0.022015363,,,0.530062906,0.001267252,,,0.526421376,0.003300015,,
0.532338506,0.004741498,17.26094704,16470.94985,0.531430173,-0.022013789,,,0.538480184,0.00126623,,,0.534838656,0.003320195,,
0.540755784,0.004737775,17.26936431,16555.23697,0.539847451,-0.021975922,,,0.546897462,0.001265602,,,0.543255936,0.003312387,,
0.549173062,0.004734436,17.27778159,16637.30848,0.548264728,-0.021925252,,,0.55531474,0.001265169,,,0.551673216,0.003268768,,
0.55759034,0.004731123,17.28619887,16732.77807,0.556682006,-0.021881381,,,0.563732018,0.001265031,,,0.560090497,0.003220021,,
0.566007617,0.004727805,17.29461615,16769.6944,0.565099284,-0.021843659,,,0.572149296,0.001264786,,,0.568507777,0.00319481,,
0.574424895,0.004724482,17.30303343,16702.25699,0.573516562,-0.021829119,,,0.580566574,0.001264443,,,0.576925057,0.00317902,,
0.582842173,0.004720447,17.3114507,16597.17083,0.58193384,-0.021819053,,,0.588983852,0.00126327,,,0.585342337,0.003171336,,
0.591259451,0.004716333,17.31986798,16448.95516,0.590351118,-0.021790711,,,0.59740113,0.001262153,,,0.593759618,0.003183337,,
0.599676729,0.00471216,17.32828526,16377.38957,0.598768396,-0.021751797,,,0.605818408,0.001261094,,,0.602176898,0.003208942,,
0.608094007,0.004707407,17.33670254,16364.94523,0.607185674,-0.021701671,,,0.614235686,0.001259247,,,0.610594178,0.003234773,,
0.616511285,0.004702554,17.34511982,16354.09032,0.615602951,-0.021655624,,,0.622652964,0.001256116,,,0.619011458,0.003260671,,
0.624928563,0.004697901,17.35353709,16328.06118,0.624020229,-0.021618364,,,0.631070242,0.001253022,,,0.627428739,0.003319379,,
0.63334584,0.004692125,17.36195437,16253.70936,0.632437507,-0.021588857,,,0.63948752,0.001250849,,,0.635846019,0.003380483,,
0.641763118,0.004686009,17.37037165,16156.11739,0.640854785,-0.021561278,,,0.647904798,0.00124965,,,0.644263299,0.003433336,,
0.650180396,0.004680381,17.37878893,16118.58783,0.649272063,-0.021543531,,,0.656322076,0.001248717,,,0.652680579,0.003478856,,
0.658597674,0.00467559,17.3872062,16128.51767,0.657689341,-0.021534459,,,0.664739354,0.001247863,,,0.66109786,0.003546844,,
0.667014952,0.004671462,17.39562348,16171.11933,0.666106619,-0.021572055,,,0.673156632,0.001247079,,,0.66951514,0.0036068,,
0.67543223,0.004667654,17.40404076,16173.58863,0.674523896,-0.021623168,,,0.68157391,0.001244807,,,0.67793242,0.003653231,,
0.683849508,0.004663949,17.41245804,16158.87705,0.682941174,-0.021655929,,,0.689991189,0.00124149,,,0.6863497,0.003687755,,
0.692266786,0.004660331,17.42087532,16152.85069,0.691358452,-0.021650318,,,0.698408467,0.001238803,,,0.694766981,0.0037048,,
0.700684063,0.00465681,17.42929259,16155.53593,0.69977573,-0.021633987,,,0.706825745,0.001236683,,,0.703184261,0.003670702,,
0.709101341,0.004653133,17.43770987,16161.19828,0.708193008,-0.021614758,,,0.715243023,0.001235076,,,0.711601541,0.003561297,,
0.717518619,0.004649315,17.44612715,16146.53917,0.716610286,-0.021597042,,,0.723660301,0.001235065,,,0.720018821,0.003421539,,
0.725935897,0.004644255,17.45454443,16127.30088,0.725027564,-0.021580695,,,0.732077579,0.001234691,,,0.728436102,0.003343716,,
0.734353175,0.004641192,17.46296171,16106.96643,0.733444842,-0.021545235,,,0.740494857,0.001233979,,,0.736853382,0.003391054,,
0.742770453,0.004640888,17.47137898,16081.8342,0.741862119,-0.02150908,,,0.748912135,0.001232576,,,0.745270662,0.003435846,,
0.751187731,0.004640634,17.47979626,16058.80244,0.750279397,-0.02150142,,,0.757329413,0.001229381,,,0.753687942,0.003470313,,
0.759605009,0.00464001,17.48821354,15988.18777,0.758696675,-0.021519012,,,0.765746691,0.001226581,,,0.762105223,0.00349568,,
0.768022286,0.004638748,17.49663082,15945.83356,0.767113953,-0.021562369,,,0.774163969,0.001223857,,,0.770522503,0.003468633,,
0.776439564,0.004636924,17.50504809,15883.64452,0.775531231,-0.021643934,,,0.782581247,0.001221197,,,0.778939783,0.00344509,,
0.784856842,0.004633028,17.51346537,15797.56578,0.783948509,-0.021743067,,,0.790998525,0.001217104,,,0.787357063,0.003425182,,
0.79327412,0.00462952,17.52188265,15767.0963,0.792365787,-0.021806572,,,0.799415803,0.001212582,,,0.795774344,0.003407593,,
0.801691398,0.004626166,17.53029993,15788.90604,0.800783065,-0.021826627,,,0.807833081,0.001211498,,,0.804191624,0.003392033,,
0.810108676,0.004622578,17.53871721,15811.09139,0.809200342,-0.021847469,,,0.816250359,0.001211747,,,0.812608904,0.003375757,,
0.818525954,0.00461878,17.54713448,15801.69735,0.81761762,-0.021869424,,,0.824667637,0.00121252,,,0.821026184,0.003365195,,
0.826943232,0.004615318,17.55555176,15858.26778,0.826034898,-0.021903556,,,0.833084915,0.001213126,,,0.829443465,0.003348956,,
0.835360509,0.004612154,17.56396904,15925.14951,0.834452176,-0.02192395,,,0.841502193,0.00121358,,,0.837860745,0.003327628,,
